2,251.9,2,7.7049,2,4.2431,2,629.77,2,20.067,2,0.0094532,2,1.4196,2,1.2511,2,0.43228
2.0417,252.32,2.0417,7.6906,2.0417,4.2317,2.0417,614.22,2.0417,20.269,2.0417,0.0093251,2.0417,1.4163,2.0417,1.2511,2.0417,0.4313
2.0833,252.73,2.0833,7.6771,2.0833,4.2211,2.0833,599.05,2.0833,20.465,2.0833,0.0092023,2.0833,1.4129,2.0833,1.2511,2.0833,0.43033
2.125,253.15,2.125,7.6642,2.125,4.2113,2.125,584.26,2.125,20.656,2.125,0.0090845,2.125,1.4095,2.125,1.2511,2.125,0.42937
2.1667,253.55,2.1667,7.6518,2.1667,4.2022,2.1667,569.84,2.1667,20.841,2.1667,0.0089713,2.1667,1.4062,2.1667,1.2511,2.1667,0.42842
2.2083,253.96,2.2083,7.6399,2.2083,4.1937,2.2083,555.77,2.2083,21.02,2.2083,0.0088626,2.2083,1.4028,2.2083,1.2511,2.2083,0.42748
2.25,254.36,2.25,7.6284,2.25,4.1856,2.25,542.05,2.25,21.194,2.25,0.008758,2.25,1.3995,2.25,1.2511,2.25,0.42656
2.2917,254.77,2.2917,7.6172,2.2917,4.178,2.2917,528.66,2.2917,21.363,2.2917,0.0086573,2.2917,1.3962,2.2917,1.2511,2.2917,0.42565
2.3333,255.17,2.3333,7.6064,2.3333,4.1707,2.3333,515.61,2.3333,21.527,2.3333,0.0085603,2.3333,1.3929,2.3333,1.2511,2.3333,0.42475
2.375,255.56,2.375,7.5958,2.375,4.1638,2.375,502.88,2.375,21.686,2.375,0.0084668,2.375,1.3896,2.375,1.2511,2.375,0.42386
2.4167,255.96,2.4167,7.5855,2.4167,4.1572,2.4167,490.46,2.4167,21.84,2.4167,0.0083766,2.4167,1.3862,2.4167,1.2511,2.4167,0.42298
2.4583,256.36,2.4583,7.5753,2.4583,4.1508,2.4583,478.35,2.4583,21.99,2.4583,0.0082896,2.4583,1.383,2.4583,1.2511,2.4583,0.42212
2.5,256.75,2.5,7.5653,2.5,4.1446,2.5,466.54,2.5,22.135,2.5,0.0082055,2.5,1.3797,2.5,1.2511,2.5,0.42126
