,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1/x22,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,-x21**(-p21)*x9*(p20**p21 + x21**p21)/(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1),0,0,v1*v3*x21**(-p21)*(p20**p21 + x21**p21)*(k2*p19*x11*x12*x14*x19**2*x24*x6**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3) - k2*p19*x11*x12*x14*x19**2*x24*x6**2/(v1*v3))/(p19*x11*x12*x14*x19**2*x24*x6*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),-v1*v3*x10**(-p4)*x21**(-p21)*x27**(-p8)*(p20**p21 + x21**p21)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19**2*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) - k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19**2*x24*x27**p10*x27**p8*x6*x7**2/(v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19*p27*p29*x11*x12*x14*x19**2*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),0,0,0,0,0,0,0,0,v1*v3*x21**(-p21)*(p20**p21 + x21**p21)*(-k2*p19**2*x11**2*x12*x14*x19**2*x24*x6**2/(v1*v3) + p19**2*x11**2*x12*x14*x19**2*x24*x6**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(v1*v3))/(p19*x11*x12*x14*x19**2*x24*x6*(c2**p18*p17/(c2**p18 + p16**p18) + 1)*(p24*Abs(c1)**p25/(p26**p25 + Abs(c1)**p25) - 1)),0
33,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x8**p2*x9/(k3*x19*(p1**p2 + x8**p2)),-k2*x6/(k3*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),v1*v3*x10**(-p4)*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)*(-k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19*x24*x27**p10*x27**p8*x6*x7**2*(c2**p18*p17/(c2**p18 + p16**p18) + 1)/(k3*v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)) + k1*p19*p27*p28*p29*p30*x10**p4*x10**p6*x11*x12*x14*x19*x24*x27**p10*x27**p8*x6*x7**2/(k3*v1*v3*(p3**p4 + x10**p4)*(p5**p6 + x10**p6)*(p7**p8 + x27**p8)*(p9**p10 + x27**p10)))/(p19*p27*p29*x11*x12*x14*x19**2*x24*x6*x7*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),-x24/x19,0,0,0,0,0,0,0,-k2*p19*x11*x6/(k3*x19*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1/(c2**p18*p17/(c2**p18 + p16**p18) + 1),k1*p28*p30*x10**p6*x27**p10*x7/(k2*x6*(p5**p6 + x10**p6)*(p9**p10 + x27**p10)*(c2**p18*p17/(c2**p18 + p16**p18) + 1)),0,0,0,0,0,0,0,0,-p19*x11/(c2**p18*p17/(c2**p18 + p16**p18) + 1),0
37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x10**(-p4)*x27**(-p8)*x8**p2*x9*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)/(k1*p27*p29*x7*(p1**p2 + x8**p2)),0,-p28*p30*x10**(-p4)*x10**p6*x27**p10*x27**(-p8)*(p3**p4 + x10**p4)*(p7**p8 + x27**p8)/(p27*p29*(p5**p6 + x10**p6)*(p9**p10 + x27**p10)),0,0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x2*x3/(p34*x23),-1,0,0,0,0,0,0,0
