,ApoA1_pl_clearance_rate_k,ApoB_pl_clearance_rate_k,Chol_ic_P_elimination_rate_k,Chol_ic_P_production_rate_k,Chol_ic_P_to_HDL_pl_rate_k,HDL_to_LDL_exchange_rate_k,HDL_to_VLDL_exchange_rate_k,LDLR_P_internalization_rate_k,LDLR_P_recycling_rate_k,LDLR_en_P_degradation_rate_k,LDLR_ic_P_production_rate_k,LDLR_ic_to_cs_P_trafficking_rate_k,LDL_LDLR_P_internalization_rate_k,LDL_LDLR_en_Kd*LDL_LDLR_en_association_rate_k,LDL_LDLR_en_association_rate_k,LDL_LDLR_pl_Kd*LDL_LDLR_pl_association_rate_k,LDL_LDLR_pl_association_rate_k,LDL_en_to_Chol_ic_P_rate_k,LDL_pl_LDLRind_P_uptake_rate_k,MAb_F*MAb_Ka,MAb_Ka*(-MAb_F + 1),MAb_PC9_2_Kd*MAb_PC9_2_association_rate_k,MAb_PC9_2_association_rate_k,MAb_PC9_2_kel,MAb_PCSK9_Kd*MAb_PCSK9_association_rate_k,MAb_PCSK9_association_rate_k,MAb_PCSK9_kel,MAb_dose,MAb_kel,PC9_LDLR_P_internalization_rate_k,PC9_LDLR_en_P_degradation_rate_k,PCSK9_LDLR_en_Kd,PCSK9_LDLR_en_association_rate_k,PCSK9_LDLR_pl_Kd*PCSK9_LDLR_pl_association_rate_k,PCSK9_LDLR_pl_association_rate_k,PCSK9_en_P_degradation_rate_k,PCSK9_pl_P_uptake_rate_k,PCSK9_pl_clearance_rate_k,SREBP_ic_P_degradation_rate_k,SREBP_ic_P_production_rate_k,SREBP_ic_to_nu_P_activation_rate_k,SREBP_nu_P_degradation_rate_k,StatinM_kel,Statin_F*Statin_Ka,Statin_Ka*(-Statin_F + 1),Statin_dose,Statin_kel,Statin_kmet,Statin_pc_to_pl_rate_k,Statin_pl_to_pc_rate_k,VLDL_pl_P_LDLRuptake_rate_k,VLDL_pl_P_uptake_rate_k,VLDL_to_LDL_conversion_rate_k
VP18,0,0,0,150000,0.00093,0.041345768,0.015424165,-10.20358647,8.3,0.025228728,0.585001981,0.177151289,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-67.09521434,0.2,7.887123389,0.459458602,126,0.158060737,-29.01305084,0,0.088382451,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.012314513
VP19,0,0,0,150000,0.00093,0.035528647,0.021241286,-10.28081614,8.3,0.03384571,0.670199769,0.202951028,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-58.90818606,0.2,6.820602101,0.330333556,126,0.180029202,-25.81621122,0,0.077597932,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.01695885
VP2,0,0,0,150000,0.00093,0.040349787,0.016420146,-10.08413704,8.3,0.042270284,0.753495178,0.228174684,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-73.30938134,0.2,9.846904619,0.883818968,126,0.141386102,-31.43953509,0,0.096568181,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.013109695
VP3,0,0,0,150000,0.00093,0.04082368,0.015946253,-9.532092747,8.3,0.019257468,0.52596297,0.159272996,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-123.6385344,0.2,5.806658523,0.552834821,126,0.006336582,-51.09187104,0,0.162865218,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.012731344
VP4,0,0,0,150000,0.00093,0.036167697,0.020602236,-9.94663323,8.3,0.049290613,0.822906534,0.249193949,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-83.1376141,0.2,6.963316231,0.463296295,126,0.11501375,-35.27722598,0,0.109514608,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.016448639
VP5,0,0,0,150000,0.00093,0.034457652,0.022312281,-10.1731377,8.3,0.021609048,0.549213499,0.166313761,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-70.37026171,0.2,8.870528362,0.614317328,126,0.149272717,-30.29187886,0,0.09269657,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.017813923
VP6,0,0,0,150000,0.00093,0.038264229,0.018505704,-10.13584068,8.3,0.053488476,0.864411631,0.261762592,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-66.67124654,0.2,8.457863497,0.523396611,126,0.159198381,-28.8475015,0,0.087823971,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.014774786
VP7,0,0,0,150000,0.00093,0.043411044,0.013358889,-9.871288271,8.3,0.029669211,0.628905905,0.19044635,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-93.50614872,0.2,6.850384301,0.505910401,126,0.087191593,-39.32589188,0,0.123172758,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.010665616
VP8,0,0,0,150000,0.00093,0.034932771,0.021837162,-9.906162683,8.3,0.028464452,0.616994217,0.186839232,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-90.89120468,0.2,8.293242261,0.666957838,126,0.09420834,-38.3048185,0,0.119728173,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.017434592
VP9,0,0,0,150000,0.00093,0.042431172,0.014338761,-10.17653178,8.3,0.037489116,0.706222835,0.213859593,26.49675719,1440,0.205537896,720,0.369373997,26.49675719,0.00034,0.015,0.01,0.216,0.36,0.0075,0.216,0.36,0.0025,0,0.00125,-66.71893783,0.2,7.021574528,0.383224588,126,0.159070409,-28.86612382,0,0.087886794,0.693,7.620001805,0.031101435,0.693,0.5,0.14,0.86,0,0.1,1.25,0.333,3.33,0,0,0.011447936
